,ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,
GO:0035023,BP,GO:0035023,regulation of Rho protein signal transduction,3/352,72/14611,0.250860507,0.599939366,0.518416252,Arhgap35/Arhgef10/F2r,3,
GO:1902115,BP,GO:1902115,regulation of organelle assembly,6/352,176/14611,0.25109424,0.599939366,0.518416252,Arhgap35/Nptx1/Ntrk3/Ptprd/Trim37/Tsg101,6,
GO:0030326,BP,GO:0030326,embryonic limb morphogenesis,4/352,106/14611,0.252390987,0.599939366,0.518416252,Cacna1c/Gna12/Gnaq/Wnt7a,4,
GO:0035113,BP,GO:0035113,embryonic appendage morphogenesis,4/352,106/14611,0.252390987,0.599939366,0.518416252,Cacna1c/Gna12/Gnaq/Wnt7a,4,
GO:0000375,BP,GO:0000375,"RNA splicing, via transesterification reactions",8/352,249/14611,0.252921963,0.599939366,0.518416252,Acin1/Celf2/Luc7l3/Malat1/Ncl/Rbfox1/Snrpd3/Srrm4,8,
GO:0000377,BP,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",8/352,249/14611,0.252921963,0.599939366,0.518416252,Acin1/Celf2/Luc7l3/Malat1/Ncl/Rbfox1/Snrpd3/Srrm4,8,
GO:0000398,BP,GO:0000398,"mRNA splicing, via spliceosome",8/352,249/14611,0.252921963,0.599939366,0.518416252,Acin1/Celf2/Luc7l3/Malat1/Ncl/Rbfox1/Snrpd3/Srrm4,8,
GO:0010631,BP,GO:0010631,epithelial cell migration,8/352,249/14611,0.252921963,0.599939366,0.518416252,Adgrb1/Amotl1/Anln/Bsg/Mecp2/Pten/Ptprr/Wnt7a,8,
GO:0016458,BP,GO:0016458,gene silencing,5/352,141/14611,0.253283909,0.599939366,0.518416252,Celf2/Ddx6/Gigyf2/Mecp2/Zc3h7b,5,
GO:0098862,CC,GO:0098862,cluster of actin-based cell projections,5/352,141/14611,0.253283909,0.599939366,0.518416252,Capza2/Car4/Gna12/Prkcb/Slc4a7,5,
GO:0001518,CC,GO:0001518,voltage-gated sodium channel complex,1/352,12/14611,0.253789966,0.599939366,0.518416252,Scn1b,1,
GO:0002717,BP,GO:0002717,positive regulation of natural killer cell mediated immunity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Lamp1,1,
GO:0003081,BP,GO:0003081,regulation of systemic arterial blood pressure by renin-angiotensin,1/352,12/14611,0.253789966,0.599939366,0.518416252,F2r,1,
GO:0003334,BP,GO:0003334,keratinocyte development,1/352,12/14611,0.253789966,0.599939366,0.518416252,Exph5,1,
GO:0004298,MF,GO:0004298,threonine-type endopeptidase activity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Psmb6,1,
GO:0005212,MF,GO:0005212,structural constituent of eye lens,1/352,12/14611,0.253789966,0.599939366,0.518416252,Vim,1,
GO:0005545,MF,GO:0005545,1-phosphatidylinositol binding,1/352,12/14611,0.253789966,0.599939366,0.518416252,Wdfy3,1,
GO:0005675,CC,GO:0005675,transcription factor TFIIH holo complex,1/352,12/14611,0.253789966,0.599939366,0.518416252,Psmc5,1,
GO:0005883,CC,GO:0005883,neurofilament,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ina,1,
GO:0005916,CC,GO:0005916,fascia adherens,1/352,12/14611,0.253789966,0.599939366,0.518416252,Sptan1,1,
GO:0006002,BP,GO:0006002,fructose 6-phosphate metabolic process,1/352,12/14611,0.253789966,0.599939366,0.518416252,Nfe2l1,1,
GO:0007175,BP,GO:0007175,negative regulation of epidermal growth factor-activated receptor activity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Tsg101,1,
GO:0008540,CC,GO:0008540,"proteasome regulatory particle, base subcomplex",1/352,12/14611,0.253789966,0.599939366,0.518416252,Psmc5,1,
GO:0009208,BP,GO:0009208,pyrimidine ribonucleoside triphosphate metabolic process,1/352,12/14611,0.253789966,0.599939366,0.518416252,Nme1,1,
GO:0010224,BP,GO:0010224,response to UV-B,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ercc6,1,
GO:0010960,BP,GO:0010960,magnesium ion homeostasis,1/352,12/14611,0.253789966,0.599939366,0.518416252,Mtss1,1,
GO:0014841,BP,GO:0014841,skeletal muscle satellite cell proliferation,1/352,12/14611,0.253789966,0.599939366,0.518416252,Kpna1,1,
GO:0014850,BP,GO:0014850,response to muscle activity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ryr2,1,
GO:0016188,BP,GO:0016188,synaptic vesicle maturation,1/352,12/14611,0.253789966,0.599939366,0.518416252,Slc17a7,1,
GO:0021548,BP,GO:0021548,pons development,1/352,12/14611,0.253789966,0.599939366,0.518416252,Slc4a7,1,
GO:0021683,BP,GO:0021683,cerebellar granular layer morphogenesis,1/352,12/14611,0.253789966,0.599939366,0.518416252,Wnt7a,1,
GO:0022851,MF,GO:0022851,GABA-gated chloride ion channel activity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Gabra1,1,
GO:0031005,MF,GO:0031005,filamin binding,1/352,12/14611,0.253789966,0.599939366,0.518416252,Dpysl4,1,
GO:0031209,CC,GO:0031209,SCAR complex,1/352,12/14611,0.253789966,0.599939366,0.518416252,Wasf1,1,
GO:0031280,BP,GO:0031280,negative regulation of cyclase activity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Gabbr1,1,
GO:0031340,BP,GO:0031340,positive regulation of vesicle fusion,1/352,12/14611,0.253789966,0.599939366,0.518416252,Syt2,1,
GO:0031362,CC,GO:0031362,anchored component of external side of plasma membrane,1/352,12/14611,0.253789966,0.599939366,0.518416252,Car4,1,
GO:0033240,BP,GO:0033240,positive regulation of cellular amine metabolic process,1/352,12/14611,0.253789966,0.599939366,0.518416252,Gpr37,1,
GO:0033391,CC,GO:0033391,chromatoid body,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ddx6,1,
GO:0034709,CC,GO:0034709,methylosome,1/352,12/14611,0.253789966,0.599939366,0.518416252,Snrpd3,1,
GO:0035563,BP,GO:0035563,positive regulation of chromatin binding,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ctbp2,1,
GO:0035729,BP,GO:0035729,cellular response to hepatocyte growth factor stimulus,1/352,12/14611,0.253789966,0.599939366,0.518416252,Appl2,1,
GO:0042416,BP,GO:0042416,dopamine biosynthetic process,1/352,12/14611,0.253789966,0.599939366,0.518416252,Gpr37,1,
GO:0042572,BP,GO:0042572,retinol metabolic process,1/352,12/14611,0.253789966,0.599939366,0.518416252,Aldh1a1,1,
GO:0042776,BP,GO:0042776,mitochondrial ATP synthesis coupled proton transport,1/352,12/14611,0.253789966,0.599939366,0.518416252,Atp5o,1,
GO:0043196,CC,GO:0043196,varicosity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Map1b,1,
GO:0043508,BP,GO:0043508,negative regulation of JUN kinase activity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Dnaja1,1,
GO:0045792,BP,GO:0045792,negative regulation of cell size,1/352,12/14611,0.253789966,0.599939366,0.518416252,Pten,1,
GO:0045906,BP,GO:0045906,negative regulation of vasoconstriction,1/352,12/14611,0.253789966,0.599939366,0.518416252,Dusp5,1,
GO:0045954,BP,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Lamp1,1,
GO:0046073,BP,GO:0046073,dTMP metabolic process,1/352,12/14611,0.253789966,0.599939366,0.518416252,Nme1,1,
GO:0046322,BP,GO:0046322,negative regulation of fatty acid oxidation,1/352,12/14611,0.253789966,0.599939366,0.518416252,Appl2,1,
GO:0048102,BP,GO:0048102,autophagic cell death,1/352,12/14611,0.253789966,0.599939366,0.518416252,Lamp1,1,
GO:0048103,BP,GO:0048103,somatic stem cell division,1/352,12/14611,0.253789966,0.599939366,0.518416252,Wnt7a,1,
GO:0048755,BP,GO:0048755,branching morphogenesis of a nerve,1/352,12/14611,0.253789966,0.599939366,0.518416252,Mecp2,1,
GO:0050930,BP,GO:0050930,induction of positive chemotaxis,1/352,12/14611,0.253789966,0.599939366,0.518416252,Il16,1,
GO:0051447,BP,GO:0051447,negative regulation of meiotic cell cycle,1/352,12/14611,0.253789966,0.599939366,0.518416252,Grb14,1,
GO:0051546,BP,GO:0051546,keratinocyte migration,1/352,12/14611,0.253789966,0.599939366,0.518416252,Pten,1,
GO:0051608,BP,GO:0051608,histamine transport,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ywhaz,1,
GO:0060368,BP,GO:0060368,regulation of Fc receptor mediated stimulatory signaling pathway,1/352,12/14611,0.253789966,0.599939366,0.518416252,Appl2,1,
GO:0060394,BP,GO:0060394,negative regulation of pathway-restricted SMAD protein phosphorylation,1/352,12/14611,0.253789966,0.599939366,0.518416252,Snx25,1,
GO:0060457,BP,GO:0060457,negative regulation of digestive system process,1/352,12/14611,0.253789966,0.599939366,0.518416252,Wnk1,1,
GO:0060736,BP,GO:0060736,prostate gland growth,1/352,12/14611,0.253789966,0.599939366,0.518416252,Pten,1,
GO:0070254,BP,GO:0070254,mucus secretion,1/352,12/14611,0.253789966,0.599939366,0.518416252,Adora1,1,
GO:0070914,BP,GO:0070914,UV-damage excision repair,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ino80,1,
GO:0071280,BP,GO:0071280,cellular response to copper ion,1/352,12/14611,0.253789966,0.599939366,0.518416252,Nfe2l1,1,
GO:0071679,BP,GO:0071679,commissural neuron axon guidance,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ephb2,1,
GO:0072677,BP,GO:0072677,eosinophil migration,1/352,12/14611,0.253789966,0.599939366,0.518416252,Lgals3,1,
GO:0090026,BP,GO:0090026,positive regulation of monocyte chemotaxis,1/352,12/14611,0.253789966,0.599939366,0.518416252,App,1,
GO:0090161,BP,GO:0090161,Golgi ribbon formation,1/352,12/14611,0.253789966,0.599939366,0.518416252,Trip11,1,
GO:0099519,BP,GO:0099519,dense core granule cytoskeletal transport,1/352,12/14611,0.253789966,0.599939366,0.518416252,Mecp2,1,
GO:1900038,BP,GO:1900038,negative regulation of cellular response to hypoxia,1/352,12/14611,0.253789966,0.599939366,0.518416252,Tmbim6,1,
GO:1901741,BP,GO:1901741,positive regulation of myoblast fusion,1/352,12/14611,0.253789966,0.599939366,0.518416252,Adgrb1,1,
GO:1902259,BP,GO:1902259,regulation of delayed rectifier potassium channel activity,1/352,12/14611,0.253789966,0.599939366,0.518416252,Kcnab1,1,
GO:1903651,BP,GO:1903651,positive regulation of cytoplasmic transport,1/352,12/14611,0.253789966,0.599939366,0.518416252,Mecp2,1,
GO:2000105,BP,GO:2000105,positive regulation of DNA-dependent DNA replication,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ino80,1,
GO:2000322,BP,GO:2000322,regulation of glucocorticoid receptor signaling pathway,1/352,12/14611,0.253789966,0.599939366,0.518416252,Ntrk2,1,
GO:0010638,BP,GO:0010638,positive regulation of organelle organization,13/352,436/14611,0.254114785,0.600394181,0.518809264,Ank1/Arhgap35/Arhgef10/Arpc5l/Atpif1/Dlg1/Map1b/Mecp2/Mtss1/Ntrk3/Syt2/Tenm1/Wasf1,13,
GO:1903037,BP,GO:1903037,regulation of leukocyte cell-cell adhesion,7/352,213/14611,0.254682625,0.601214904,0.519518463,Cd83/Dlg1/Fut9/Il20rb/Lgals3/Sirpa/Wnk1,7,
GO:0008380,BP,GO:0008380,RNA splicing,11/352,361/14611,0.254997319,0.601214904,0.519518463,Acin1/Aff2/Celf2/Lgals3/Luc7l3/Malat1/Ncl/Rbfox1/Snrpd3/Srrm4/Tmbim6,11,
GO:0007568,BP,GO:0007568,aging,6/352,177/14611,0.25512516,0.601214904,0.519518463,App/C1qa/Gna12/Gnaq/Meg3/Pten,6,
GO:0030135,CC,GO:0030135,coated vesicle,6/352,177/14611,0.25512516,0.601214904,0.519518463,App/Dennd1a/Gad2/Pacsin1/Syp/Tmed10,6,
GO:2000116,BP,GO:2000116,regulation of cysteine-type endopeptidase activity,6/352,177/14611,0.25512516,0.601214904,0.519518463,App/F2r/Herpud1/Ift57/Rnf7/Stat1,6,
GO:0090132,BP,GO:0090132,epithelium migration,8/352,250/14611,0.256297679,0.603664247,0.521634975,Adgrb1/Amotl1/Anln/Bsg/Mecp2/Pten/Ptprr/Wnt7a,8,
GO:0009199,BP,GO:0009199,ribonucleoside triphosphate metabolic process,3/352,73/14611,0.257356517,0.604426533,0.522293677,Atp5o/Nme1/Pkm,3,
GO:0035194,BP,GO:0035194,post-transcriptional gene silencing by RNA,3/352,73/14611,0.257356517,0.604426533,0.522293677,Ddx6/Mecp2/Zc3h7b,3,
GO:0061640,BP,GO:0061640,cytoskeleton-dependent cytokinesis,3/352,73/14611,0.257356517,0.604426533,0.522293677,Anln/Dctn3/Sptbn1,3,
GO:0008286,BP,GO:0008286,insulin receptor signaling pathway,4/352,107/14611,0.25767711,0.604426533,0.522293677,Ccnd3/Grb14/Prkcb/Zfp106,4,
GO:0042752,BP,GO:0042752,regulation of circadian rhythm,4/352,107/14611,0.25767711,0.604426533,0.522293677,Adora1/Csnk1e/Oprl1/Prkcg,4,
GO:0071453,BP,GO:0071453,cellular response to oxygen levels,4/352,107/14611,0.25767711,0.604426533,0.522293677,Atp6v1a/Chchd2/Pten/Tmbim6,4,
GO:0007254,BP,GO:0007254,JNK cascade,5/352,142/14611,0.257832543,0.604426533,0.522293677,App/Dnaja1/Ercc6/Sirpa/Wnt7a,5,
GO:0002460,BP,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,7/352,214/14611,0.258355177,0.604426533,0.522293677,C1qa/Dlg1/Ephb2/Il20rb/Pagr1a/Ppp3cb/Rftn1,7,
GO:0045444,BP,GO:0045444,fat cell differentiation,7/352,214/14611,0.258355177,0.604426533,0.522293677,Cds1/Ctbp2/Gdf10/Id4/Rgs2/Tbl1xr1/Trim32,7,
GO:0031347,BP,GO:0031347,regulation of defense response,12/352,400/14611,0.258771516,0.604426533,0.522293677,Adora1/App/Appl2/Ephb2/Ercc6/Il16/Il20rb/Lamp1/Matr3/Nfe2l1/Stat1/Trim62,12,
GO:0043410,BP,GO:0043410,positive regulation of MAPK cascade,12/352,400/14611,0.258771516,0.604426533,0.522293677,Adora1/Akap12/App/F2r/Gpr37/Grm1/Nenf/Ntrk2/Ntrk3/Pten/Tenm1/Wnt7a,12,
GO:0001046,MF,GO:0001046,core promoter sequence-specific DNA binding,2/352,41/14611,0.25964132,0.604426533,0.522293677,Stat1/Tbpl1,2,
GO:0010517,BP,GO:0010517,regulation of phospholipase activity,2/352,41/14611,0.25964132,0.604426533,0.522293677,Gnaq/Rgs2,2,
GO:0016459,CC,GO:0016459,myosin complex,2/352,41/14611,0.25964132,0.604426533,0.522293677,Dynll2/Myo5a,2,
GO:0031312,CC,GO:0031312,extrinsic component of organelle membrane,2/352,41/14611,0.25964132,0.604426533,0.522293677,Ndufaf5/Wdfy3,2,
GO:0033173,BP,GO:0033173,calcineurin-NFAT signaling cascade,2/352,41/14611,0.25964132,0.604426533,0.522293677,Erbb3/Ppp3cb,2,
GO:0035196,BP,GO:0035196,production of miRNAs involved in gene silencing by miRNA,2/352,41/14611,0.25964132,0.604426533,0.522293677,Mecp2/Zc3h7b,2,
GO:0045197,BP,GO:0045197,establishment or maintenance of epithelial cell apical/basal polarity,2/352,41/14611,0.25964132,0.604426533,0.522293677,Dlg1/Mtcl1,2,
GO:0060964,BP,GO:0060964,regulation of gene silencing by miRNA,2/352,41/14611,0.25964132,0.604426533,0.522293677,Ddx6/Mecp2,2,
GO:0090317,BP,GO:0090317,negative regulation of intracellular protein transport,2/352,41/14611,0.25964132,0.604426533,0.522293677,Gdi1/Txn1,2,
GO:1900046,BP,GO:1900046,regulation of hemostasis,2/352,41/14611,0.25964132,0.604426533,0.522293677,Ephb2/F2r,2,
GO:1902476,BP,GO:1902476,chloride transmembrane transport,2/352,41/14611,0.25964132,0.604426533,0.522293677,Gabra1/Slc4a8,2,
GO:0090130,BP,GO:0090130,tissue migration,8/352,251/14611,0.259687447,0.604426533,0.522293677,Adgrb1/Amotl1/Anln/Bsg/Mecp2/Pten/Ptprr/Wnt7a,8,
GO:0017148,BP,GO:0017148,negative regulation of translation,5/352,143/14611,0.262400772,0.605235588,0.522992793,Ddx6/Gigyf2/Igfbp5/Ncl/Rgs2,5,
GO:0030595,BP,GO:0030595,leukocyte chemotaxis,5/352,143/14611,0.262400772,0.605235588,0.522992793,App/Bsg/Il16/Lgals3/Wnk1,5,
GO:0070507,BP,GO:0070507,regulation of microtubule cytoskeleton organization,5/352,143/14611,0.262400772,0.605235588,0.522992793,Arhgef7/Dst/Map1b/Mecp2/Phldb1,5,
GO:0050678,BP,GO:0050678,regulation of epithelial cell proliferation,9/352,289/14611,0.262968822,0.605235588,0.522992793,Atpif1/Dlg1/Ift57/Mtss1/Nme1/Pten/Ptprk/Stat1/Wnt7a,9,
GO:0042177,BP,GO:0042177,negative regulation of protein catabolic process,4/352,108/14611,0.262985228,0.605235588,0.522992793,Adgrb1/Banp/Grin2c/Prkcg,4,
GO:0005902,CC,GO:0005902,microvillus,3/352,74/14611,0.263875177,0.605235588,0.522992793,Atp6v1a/Atp6v1e1/Dlg1,3,
GO:0046785,BP,GO:0046785,microtubule polymerization,3/352,74/14611,0.263875177,0.605235588,0.522992793,Arhgef7/Map1b/Mecp2,3,
GO:0005178,MF,GO:0005178,integrin binding,4/352,109/14611,0.268313998,0.605235588,0.522992793,App/Dst/Frmd5/Ptprz1,4,
GO:0015085,MF,GO:0015085,calcium ion transmembrane transporter activity,4/352,109/14611,0.268313998,0.605235588,0.522992793,Cacna1c/Grin2c/Ryr2/Ryr3,4,
GO:0015485,MF,GO:0015485,cholesterol binding,2/352,42/14611,0.268625459,0.605235588,0.522992793,Nfe2l1/Syp,2,
GO:0019748,BP,GO:0019748,secondary metabolic process,2/352,42/14611,0.268625459,0.605235588,0.522992793,Akr1a1/Myo5a,2,
GO:0021545,BP,GO:0021545,cranial nerve development,2/352,42/14611,0.268625459,0.605235588,0.522992793,Ephb2/Erbb3,2,
GO:0030850,BP,GO:0030850,prostate gland development,2/352,42/14611,0.268625459,0.605235588,0.522992793,Id4/Pten,2,
GO:0034340,BP,GO:0034340,response to type I interferon,2/352,42/14611,0.268625459,0.605235588,0.522992793,Ifitm3/Stat1,2,
GO:0050854,BP,GO:0050854,regulation of antigen receptor-mediated signaling pathway,2/352,42/14611,0.268625459,0.605235588,0.522992793,Lgals3/Prkcb,2,
GO:0097720,BP,GO:0097720,calcineurin-mediated signaling,2/352,42/14611,0.268625459,0.605235588,0.522992793,Erbb3/Ppp3cb,2,
GO:0120163,BP,GO:0120163,negative regulation of cold-induced thermogenesis,2/352,42/14611,0.268625459,0.605235588,0.522992793,Aldh1a1/Plcl1,2,
GO:0009306,BP,GO:0009306,protein secretion,9/352,291/14611,0.269347899,0.605235588,0.522992793,Bsg/Cacna1c/Camk2n1/Exph5/F2r/Ildr2/Myo5a/Ppp3cb/Tmed10,9,
GO:0035592,BP,GO:0035592,establishment of protein localization to extracellular region,9/352,291/14611,0.269347899,0.605235588,0.522992793,Bsg/Cacna1c/Camk2n1/Exph5/F2r/Ildr2/Myo5a/Ppp3cb/Tmed10,9,
GO:0005496,MF,GO:0005496,steroid binding,3/352,75/14611,0.270414066,0.605235588,0.522992793,Atp5o/Nfe2l1/Syp,3,
GO:0010921,BP,GO:0010921,regulation of phosphatase activity,3/352,75/14611,0.270414066,0.605235588,0.522992793,Bod1l/Ppp1r17/Ppp1r9b,3,
GO:0019058,BP,GO:0019058,viral life cycle,6/352,181/14611,0.27142034,0.605235588,0.522992793,Bsg/Ddx6/Ifitm3/Trim32/Trim62/Tsg101,6,
GO:0007219,BP,GO:0007219,Notch signaling pathway,5/352,145/14611,0.271592607,0.605235588,0.522992793,App/Cntn6/Dner/Got1/Maml3,5,
GO:0010594,BP,GO:0010594,regulation of endothelial cell migration,5/352,145/14611,0.271592607,0.605235588,0.522992793,Adgrb1/Amotl1/Bsg/Mecp2/Wnt7a,5,
GO:0000900,MF,GO:0000900,"translation repressor activity, mRNA regulatory element binding",1/352,13/14611,0.271782015,0.605235588,0.522992793,Pura,1,
GO:0001675,BP,GO:0001675,acrosome assembly,1/352,13/14611,0.271782015,0.605235588,0.522992793,Tbpl1,1,
GO:0005005,MF,GO:0005005,transmembrane-ephrin receptor activity,1/352,13/14611,0.271782015,0.605235588,0.522992793,Ephb2,1,
GO:0005237,MF,GO:0005237,inhibitory extracellular ligand-gated ion channel activity,1/352,13/14611,0.271782015,0.605235588,0.522992793,Gabra1,1,
GO:0005313,MF,GO:0005313,L-glutamate transmembrane transporter activity,1/352,13/14611,0.271782015,0.605235588,0.522992793,Slc17a7,1,
GO:0006268,BP,GO:0006268,DNA unwinding involved in DNA replication,1/352,13/14611,0.271782015,0.605235588,0.522992793,Pura,1,
GO:0006596,BP,GO:0006596,polyamine biosynthetic process,1/352,13/14611,0.271782015,0.605235588,0.522992793,Oaz1,1,
GO:0006691,BP,GO:0006691,leukotriene metabolic process,1/352,13/14611,0.271782015,0.605235588,0.522992793,Mgst3,1,
GO:0010561,BP,GO:0010561,negative regulation of glycoprotein biosynthetic process,1/352,13/14611,0.271782015,0.605235588,0.522992793,Itm2c,1,
GO:0010818,BP,GO:0010818,T cell chemotaxis,1/352,13/14611,0.271782015,0.605235588,0.522992793,Wnk1,1,
GO:0014049,BP,GO:0014049,positive regulation of glutamate secretion,1/352,13/14611,0.271782015,0.605235588,0.522992793,Gabbr1,1,
GO:0015108,MF,GO:0015108,chloride transmembrane transporter activity,1/352,13/14611,0.271782015,0.605235588,0.522992793,Slc4a8,1,
GO:0016081,BP,GO:0016081,synaptic vesicle docking,1/352,13/14611,0.271782015,0.605235588,0.522992793,Ctbp2,1,
GO:0016595,MF,GO:0016595,glutamate binding,1/352,13/14611,0.271782015,0.605235588,0.522992793,Gad2,1,
GO:0017166,MF,GO:0017166,vinculin binding,1/352,13/14611,0.271782015,0.605235588,0.522992793,Coro2b,1,
GO:0019359,BP,GO:0019359,nicotinamide nucleotide biosynthetic process,1/352,13/14611,0.271782015,0.605235588,0.522992793,Nmnat2,1,
GO:0021554,BP,GO:0021554,optic nerve development,1/352,13/14611,0.271782015,0.605235588,0.522992793,Ephb2,1,
GO:0021819,BP,GO:0021819,layer formation in cerebral cortex,1/352,13/14611,0.271782015,0.605235588,0.522992793,Reln,1,
GO:0030061,CC,GO:0030061,mitochondrial crista,1/352,13/14611,0.271782015,0.605235588,0.522992793,Cox6b2,1,
GO:0030949,BP,GO:0030949,positive regulation of vascular endothelial growth factor receptor signaling pathway,1/352,13/14611,0.271782015,0.605235588,0.522992793,Prkcb,1,
GO:0030953,BP,GO:0030953,astral microtubule organization,1/352,13/14611,0.271782015,0.605235588,0.522992793,Dlg1,1,
GO:0031000,BP,GO:0031000,response to caffeine,1/352,13/14611,0.271782015,0.605235588,0.522992793,Ryr2,1,
GO:0032060,BP,GO:0032060,bleb assembly,1/352,13/14611,0.271782015,0.605235588,0.522992793,Anln,1,
GO:0032253,BP,GO:0032253,dense core granule localization,1/352,13/14611,0.271782015,0.605235588,0.522992793,Mecp2,1,
GO:0032402,BP,GO:0032402,melanosome transport,1/352,13/14611,0.271782015,0.605235588,0.522992793,Myo5a,1,
GO:0033549,MF,GO:0033549,MAP kinase phosphatase activity,1/352,13/14611,0.271782015,0.605235588,0.522992793,Dusp5,1,
GO:0033631,BP,GO:0033631,cell-cell adhesion mediated by integrin,1/352,13/14611,0.271782015,0.605235588,0.522992793,Wnk1,1,
GO:0034350,BP,GO:0034350,regulation of glial cell apoptotic process,1/352,13/14611,0.271782015,0.605235588,0.522992793,Akap12,1,
GO:0034497,BP,GO:0034497,protein localization to phagophore assembly site,1/352,13/14611,0.271782015,0.605235588,0.522992793,Pacs2,1,
GO:0035173,MF,GO:0035173,histone kinase activity,1/352,13/14611,0.271782015,0.605235588,0.522992793,Prkcb,1,
GO:0035590,BP,GO:0035590,purinergic nucleotide receptor signaling pathway,1/352,13/14611,0.271782015,0.605235588,0.522992793,Adora1,1,
GO:0035728,BP,GO:0035728,response to hepatocyte growth factor,1/352,13/14611,0.271782015,0.605235588,0.522992793,Appl2,1,
GO:0036296,BP,GO:0036296,response to increased oxygen levels,1/352,13/14611,0.271782015,0.605235588,0.522992793,Atp6v1a,1,
GO:0038093,BP,GO:0038093,Fc receptor signaling pathway,1/352,13/14611,0.271782015,0.605235588,0.522992793,Appl2,1,
GO:0042790,BP,GO:0042790,nucleolar large rRNA transcription by RNA polymerase I,1/352,13/14611,0.271782015,0.605235588,0.522992793,Ncl,1,
GO:0043217,BP,GO:0043217,myelin maintenance,1/352,13/14611,0.271782015,0.605235588,0.522992793,Pten,1,
GO:0043225,MF,GO:0043225,ATPase-coupled inorganic anion transmembrane transporter activity,1/352,13/14611,0.271782015,0.605235588,0.522992793,Slc4a8,1,
GO:0044754,CC,GO:0044754,autolysosome,1/352,13/14611,0.271782015,0.605235588,0.522992793,Lamp1,1,
GO:0045019,BP,GO:0045019,negative regulation of nitric oxide biosynthetic process,1/352,13/14611,0.271782015,0.605235588,0.522992793,Sirpa,1,
GO:0045793,BP,GO:0045793,positive regulation of cell size,1/352,13/14611,0.271782015,0.605235588,0.522992793,Prr16,1,
GO:0046348,BP,GO:0046348,amino sugar catabolic process,1/352,13/14611,0.271782015,0.605235588,0.522992793,Aldh1a1,1,
GO:0047484,BP,GO:0047484,regulation of response to osmotic stress,1/352,13/14611,0.271782015,0.605235588,0.522992793,Mlc1,1,
GO:0048302,BP,GO:0048302,regulation of isotype switching to IgG isotypes,1/352,13/14611,0.271782015,0.605235588,0.522992793,Pagr1a,1,
GO:0048385,BP,GO:0048385,regulation of retinoic acid receptor signaling pathway,1/352,13/14611,0.271782015,0.605235588,0.522992793,Ctbp2,1,
GO:0048548,BP,GO:0048548,regulation of pinocytosis,1/352,13/14611,0.271782015,0.605235588,0.522992793,Appl2,1,
GO:0048715,BP,GO:0048715,negative regulation of oligodendrocyte differentiation,1/352,13/14611,0.271782015,0.605235588,0.522992793,Id4,1,
GO:0050820,BP,GO:0050820,positive regulation of coagulation,1/352,13/14611,0.271782015,0.605235588,0.522992793,F2r,1,
GO:0051044,BP,GO:0051044,positive regulation of membrane protein ectodomain proteolysis,1/352,13/14611,0.271782015,0.605235588,0.522992793,App,1,
GO:0061548,BP,GO:0061548,ganglion development,1/352,13/14611,0.271782015,0.605235588,0.522992793,Tubb3,1,
GO:0070307,BP,GO:0070307,lens fiber cell development,1/352,13/14611,0.271782015,0.605235588,0.522992793,Vim,1,
GO:0072687,CC,GO:0072687,meiotic spindle,1/352,13/14611,0.271782015,0.605235588,0.522992793,Rsph1,1,
GO:0097050,BP,GO:0097050,type B pancreatic cell apoptotic process,1/352,13/14611,0.271782015,0.605235588,0.522992793,Ryr2,1,
GO:0106072,BP,GO:0106072,negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway,1/352,13/14611,0.271782015,0.605235588,0.522992793,Oprl1,1,
GO:1900112,BP,GO:1900112,regulation of histone H3-K9 trimethylation,1/352,13/14611,0.271782015,0.605235588,0.522992793,Mecp2,1,
GO:1901569,BP,GO:1901569,fatty acid derivative catabolic process,1/352,13/14611,0.271782015,0.605235588,0.522992793,Abhd16a,1,
GO:1901950,BP,GO:1901950,dense core granule transport,1/352,13/14611,0.271782015,0.605235588,0.522992793,Mecp2,1,
GO:1903799,BP,GO:1903799,negative regulation of production of miRNAs involved in gene silencing by miRNA,1/352,13/14611,0.271782015,0.605235588,0.522992793,Mecp2,1,
GO:1904294,BP,GO:1904294,positive regulation of ERAD pathway,1/352,13/14611,0.271782015,0.605235588,0.522992793,Herpud1,1,
